kH,c_fem
3.200000000000000067e-01,2.055336982262114365e+00
3.200881714230212061e-01,2.054621848739495604e+00
3.214285714285714524e-01,2.043791133700878060e+00
3.216491383029471685e-01,2.042016806722688926e+00
3.228571428571428426e-01,2.032334613273437895e+00
3.232234750593948047e-01,2.029411764705882248e+00
3.242857142857142883e-01,2.020966492134526948e+00
3.248113640404479696e-01,2.016806722689075571e+00
3.257142857142857340e-01,2.009685883121945515e+00
3.264129932478113671e-01,2.004201680672268893e+00
3.271428571428571797e-01,1.998491939947244944e+00
3.280285564297832912e-01,1.991596638655462215e+00
3.285714285714286254e-01,1.987383856440020136e+00
3.296582531761509394e-01,1.978991596638655537e+00
3.300000000000000711e-01,1.976360865807469391e+00
3.313022890147558353e-01,1.966386554621849081e+00
3.314285714285714057e-01,1.965422239941018612e+00
3.328571428571428514e-01,1.954558120232672280e+00
3.329596622785379045e-01,1.953781512605041959e+00
3.342857142857142971e-01,1.943764674655528824e+00
3.346301662883813810e-01,1.941176470588235281e+00
3.357142857142857428e-01,1.933052485971037182e+00
3.363155050169849281e-01,1.928571428571428825e+00
3.371428571428571330e-01,1.922420967592785690e+00
3.380159073070189146e-01,1.915966386554622147e+00
3.385714285714285787e-01,1.911869568190176061e+00
3.397316083832752076e-01,1.903361344537815025e+00
3.400000000000000244e-01,1.901397771183271468e+00
3.414285714285714146e-01,1.891002126791347049e+00
3.414624562363089977e-01,1.890756302521008347e+00
3.428571428571428603e-01,1.880660667509348905e+00
3.432058402021221921e-01,1.878151260504201669e+00
3.442857142857143060e-01,1.870396292156854212e+00
3.449651051052527451e-01,1.865546218487394992e+00
3.457142857142857517e-01,1.860208609225334708e+00
3.467405109574388522e-01,1.852941176470588314e+00
3.471428571428571419e-01,1.850097259420960594e+00
3.485323246419393950e-01,1.840336134453781858e+00
3.485714285714285876e-01,1.840061915361104639e+00
3.499999999999999778e-01,1.830073365258097606e+00
3.503369725069873097e-01,1.827731092436974736e+00
3.514285714285714235e-01,1.820155732508582425e+00
3.521579723119215855e-01,1.815126050420168280e+00
3.528571428571428692e-01,1.810312101826631270e+00
3.539960527087105957e-01,1.802521008403361380e+00
3.542857142857143149e-01,1.800542258370388282e+00
3.557142857142857606e-01,1.790834518249762253e+00
3.558499754254724201e-01,1.789915966386554702e+00
3.571428571428571508e-01,1.781174645219607999e+00
3.577181591238828284e-01,1.777310924369747802e+00
3.585714285714285410e-01,1.771586862153300190e+00
3.596041509316336149e-01,1.764705882352941346e+00
3.600000000000000422e-01,1.762071059725583089e+00
3.614285714285714324e-01,1.752620559476088635e+00
3.615073844535888203e-01,1.752100840336134446e+00
3.628571428571428781e-01,1.743207772373109421e+00
3.634245028807471800e-01,1.739495798319327768e+00
3.642857142857143238e-01,1.733865550631065178e+00
3.653602126897115832e-01,1.726890756302521091e+00
3.657142857142857695e-01,1.724593884755037054e+00
3.671428571428572152e-01,1.715378719825971343e+00
3.673129695487876156e-01,1.714285714285714413e+00
3.685714285714285499e-01,1.706203825942547159e+00
3.692809350299959270e-01,1.701680672268907513e+00
3.699999999999999956e-01,1.697098333843297002e+00
3.712683318414304323e-01,1.689075630252100835e+00
3.714285714285714413e-01,1.688062329391793126e+00
3.728571428571428870e-01,1.679062080032515336e+00
3.732709936318304722e-01,1.676470588235294157e+00
3.742857142857143327e-01,1.670117251063821140e+00
3.752918802958268296e-01,1.663865546218487257e+00
3.757142857142857229e-01,1.661240999344008928e+00
3.771428571428571130e-01,1.652418232580303847e+00
3.773310559826639765e-01,1.651260504201680579e+00
3.785714285714285587e-01,1.643629070962738803e+00
3.793862053437522253e-01,1.638655462184873901e+00
3.800000000000000600e-01,1.634907743279402803e+00
3.814285714285714501e-01,1.626251806890510299e+00
3.814618905650727920e-01,1.626050420168067223e+00
3.828571428571428958e-01,1.617613798344031295e+00
3.835521191174759981e-01,1.613445378151260545e+00
3.842857142857143415e-01,1.609043039019533605e+00
3.856638299844135087e-01,1.600840336134453867e+00
3.857142857142857317e-01,1.600539829415565940e+00
3.871428571428571219e-01,1.592052900349959499e+00
3.877905293379636520e-01,1.588235294117646967e+00
3.885714285714285676e-01,1.583628797603731542e+00
3.899387887729307556e-01,1.575630252100840289e+00
3.900000000000000133e-01,1.575271870227535231e+00
3.914285714285714590e-01,1.566929207935913171e+00
3.921024347671006050e-01,1.563025210084033612e+00
3.928571428571429047e-01,1.558648267600501125e+00
3.942857142857142949e-01,1.550434081089090421e+00
3.942881389169820006e-01,1.550420168067226934e+00
3.957142857142856851e-01,1.542226825909315924e+00
3.964889203100245840e-01,1.537815126050420034e+00
3.971428571428571308e-01,1.534085947874082034e+00
3.985714285714285765e-01,1.526000955660491876e+00
3.987116170606305743e-01,1.525210084033613356e+00
4.000000000000000222e-01,1.517931050858143838e+00
